codFonteRecurso,txtDescricaoFonteRecurso,anoExercicio,modifiedMode,usuarioOperacao
00.2.501.7026,Emendas Parlamentares - Luana Alves,2025,5,
00.2.501.7027,Emendas Parlamentares - Luna,2025,5,
00.2.501.7029,Emendas Parlamentares - Gilson Barreto,2025,5,
00.2.501.7030,Emendas Parlamentares - Rute Costa,2025,5,
00.2.501.7031,Emendas Parlamentares - João Jorge,2025,5,
00.2.501.7036,Emendas Parlamentares - Marlon Luz,2025,5,
00.2.501.7038,Emendas Parlamentares - Rodrigo Goulart,2025,5,
00.2.501.7039,Emendas Parlamentares - Sandra Santana,2025,5,
00.2.501.7041,Emendas Parlamentares - Sansão Pereira,2025,5,
00.2.501.7042,Emendas Parlamentares - Aurélio Nomura,2025,5,
00.2.501.7045,Emendas Parlamentares - Paulo Frange,2025,5,
00.2.501.7046,Emendas Parlamentares - Adilson Amadeu,2025,5,
00.2.501.7047,Emendas Parlamentares - Silvia Ferraro,2025,5,
00.2.501.7048,Emendas Parlamentares - Senival Moura,2025,5,
00.2.501.7049,Emendas Parlamentares - Toninho Vespoli,2025,5,
00.2.501.7050,Emendas Parlamentares - Hélio Rodrigues,2025,5,
00.2.501.7051,Emendas Parlamentares - Xexéu Tripoli,2025,5,
00.2.501.7052,Emendas Parlamentares - Jorge Wilson Filho,2025,5,
00.2.501.7053,Emendas Parlamentares - Eliseu Gabriel,2025,5,
00.2.501.7054,Emendas Parlamentares - Thammy Miranda,2025,5,
00.2.501.7057,Emendas Parlamentares - Carlos Alberto Bezerra,2025,5,
00.2.501.7063,Emendas Parlamentares - Adriano Santos,2025,5,
00.2.501.7065,Emendas Parlamentares - Sonaira Fernandes,2025,5,
00.2.501.7066,Emendas Parlamentares - Gilberto Nascimento,2025,5,
00.2.501.7999,Ações Governamentais,2025,5,
00.2.501.9001,Outros Recursos não Vinculados,2025,5,
00.2.502.9001,Recursos não vinculados da compensação de impostos,2025,5,
00.2.704.9001,Transferências da União Referentes a Compensações Financeiras pela Exp,2025,5,
00.2.705.9001,Transferências dos Estados Referentes a Compensações Financeiras pela ,2025,5,
00.2.708.9001,Transferência da União Referente à Compensação Financeira de Recursos ,2025,5,
00.2.709.9001,Transferência da União referente à Compensação Financeira de Recursos ,2025,5,
00.2.711.9001,Demais Transferências Obrigatórias não Decorrentes de Repartições de R,2025,5,
00.9.500.9001,Recursos não vinculados de Impostos,2025,5,
01.1.574.0000,Código Genérico,2025,5,
01.1.574.1537,Educação Paulistana Pode Mais – BID,2025,5,
01.1.634.0000,Sem detalhamento,2025,5,
01.1.634.1225,PMSP-SF/Avança Saúde SP - Contrato nº 4641/OC-BR - BID,2025,5,
01.1.634.1969,Operação de Crédito - PMSP-SMS/Avança Saúde II-BID,2025,5,
01.1.754.0000,Código Genérico,2025,5,
01.1.754.1000,PMSP-SF/Programa de Modernização da Administração Tributária-PMAT 2015,2025,5,
01.1.754.1061,PMSP-SF/PNAFM II ,2025,5,
01.1.754.1200,PMSP/SMPR-Asfalto Novo,2025,5,
01.1.754.1202,PMSP/SEHAB-Programa Habitacional Casa da Família,2025,5,
01.1.754.1211,PMSP-SF - PNAFM III,2025,5,
01.1.754.1229,PMSP-SIURB/Saneamento-Avançar Perus/Mooca-Contrato nº 0505.972-67/18,2025,5,
